,Código comuna,Región,Nombre comuna,Número de personas en situación de pobreza por ingresos,Porcentaje de personas en situación de pobreza por ingresos 2015,Límite inferior,Límite superior,Metodología de Estimación
76,5801,V de Valparaíso ,Quilpué,13701,0.07972836494445801,0.06116751208901405,0.10330165177583694,Estimación Directa
77,5802,V de Valparaíso ,Limache,5073,0.10913197696208954,0.05894601345062256,0.19327041506767273,Estimación Directa
78,5803,V de Valparaíso ,Olmué,3143.712,0.18863026797771454,0.13594761490821838,0.2693306505680084,SAE
79,5804,V de Valparaíso ,Villa Alemana,15811,0.10823150724172592,0.06993339955806732,0.16380910575389862,Estimación Directa
80,6101,VI del Libertador General Bernardo O'Higgins ,Rancagua,33514,0.1316453069448471,0.08830039948225021,0.191791370511055,Estimación Directa
81,6102,VI del Libertador General Bernardo O'Higgins ,Codegua,1843,0.14151884615421295,0.073344886302948,0.25558286905288696,Estimación Directa
82,6103,VI del Libertador General Bernardo O'Higgins ,Coinco,1154.401,0.15593686699867249,0.09939892590045929,0.22919251024723053,SAE
83,6104,VI del Libertador General Bernardo O'Higgins ,Coltauco,2607,0.14807452261447906,0.11541922390460968,0.1880052536725998,Estimación Directa
84,6105,VI del Libertador General Bernardo O'Higgins ,Doñihue,2394.837,0.1125657707452774,0.06848442554473877,0.17185768485069275,SAE
85,6106,VI del Libertador General Bernardo O'Higgins ,Graneros,3720,0.11614836752414703,0.05603865161538124,0.2253427654504776,Estimación Directa
86,6107,VI del Libertador General Bernardo O'Higgins ,Las Cabras,2846.919,0.11582256853580475,0.07640502601861954,0.16702289879322052,SAE
87,6108,VI del Libertador General Bernardo O'Higgins ,Machali,2190,0.05810251459479332,0.042590171098709106,0.07879979908466339,Estimación Directa
88,6109,VI del Libertador General Bernardo O'Higgins ,Malloa,3037.122,0.21911278367042542,0.1625591367483139,0.3240763247013092,SAE
89,6110,VI del Libertador General Bernardo O'Higgins ,Mostazal,4184.521,0.15112031996250153,0.10327126085758209,0.21220313012599945,SAE
90,6111,VI del Libertador General Bernardo O'Higgins ,Olivar,2284,0.16016830503940582,0.12131570279598236,0.2085111439228058,Estimación Directa
91,6112,VI del Libertador General Bernardo O'Higgins ,Peumo,1834,0.11874393373727798,0.08333787322044373,0.16646064817905426,Estimación Directa
92,6113,VI del Libertador General Bernardo O'Higgins ,Pichidegua,2105,0.10773876309394836,0.0809292122721672,0.14205682277679443,Estimación Directa
93,6114,VI del Libertador General Bernardo O'Higgins ,Quinta De Tilcoco,1950.224,0.16138893365859985,0.0986270159482956,0.23324187099933624,SAE
94,6115,VI del Libertador General Bernardo O'Higgins ,Rengo,9988,0.156760573387146,0.09792806208133698,0.24147652089595795,Estimación Directa
95,6116,VI del Libertador General Bernardo O'Higgins ,Requinoa,2511,0.0934777781367302,0.0741184651851654,0.11725326627492905,Estimación Directa
96,6117,VI del Libertador General Bernardo O'Higgins ,San Vicente,7522,0.15396267175674438,0.10819951444864273,0.21442748606204987,Estimación Directa
97,6201,VI del Libertador General Bernardo O'Higgins ,Pichilemu,1598,0.1059822291135788,0.0841870829463005,0.13260290026664734,Estimación Directa
98,6202,VI del Libertador General Bernardo O'Higgins ,La Estrella,779.0811,0.17542921006679535,0.12979134917259216,0.2808419466018677,SAE
